Epoch,Train_loss,Train_accuracy,Train_auc,Train_f1,Train_precision,Train_recall,Train_top1,Train_top5,Val_loss,Val_accuracy,Val_auc,Val_f1,Val_precision,Val_recall,Val_top1,Val_top5
1,2.284980555375417,0.15214267373085022,0.5772846937179565,0.10861201584339142,0.11777737736701965,0.15214267373085022,0.15214267373085022,0.5682312846183777,2.2142119109630585,0.19453854858875275,0.6830911636352539,0.0883273035287857,0.05893108993768692,0.19453854858875275,0.19453854858875275,0.6622802019119263
2,2.1251411934693656,0.19838491082191467,0.6679704785346985,0.10092981904745102,0.16837754845619202,0.19838491082191467,0.19838491082191467,0.6943633556365967,2.0669111758470535,0.22580081224441528,0.7206187844276428,0.14594896137714386,0.14838023483753204,0.22580081224441528,0.22580081224441528,0.7653688788414001
3,1.9959275325139363,0.24975714087486267,0.72434002161026,0.1946648359298706,0.19277411699295044,0.24975714087486267,0.24975714087486267,0.7833600044250488,1.9308515638113022,0.2885752022266388,0.7817320823669434,0.21153885126113892,0.22430604696273804,0.2885752022266388,0.2885752022266388,0.8298433423042297
4,1.8383310238520305,0.31215041875839233,0.7916362285614014,0.26011550426483154,0.2788184881210327,0.31215041875839233,0.31215041875839233,0.8610142469406128,1.7263795286417007,0.36695003509521484,0.8693128824234009,0.2973163425922394,0.2859346568584442,0.36695003509521484,0.36695003509521484,0.8880411386489868
5,1.5653934230407078,0.405233234167099,0.8669157028198242,0.3763956129550934,0.41907843947410583,0.405233234167099,0.405233234167099,0.91901695728302,1.3943244367837906,0.4570985436439514,0.9101287722587585,0.4276857376098633,0.5089840888977051,0.4570985436439514,0.4570985436439514,0.9749100208282471
6,1.3470841348171234,0.5028595328330994,0.9008296728134155,0.4948574900627136,0.513248860836029,0.5028595328330994,0.5028595328330994,0.9676557183265686,1.2590460181236267,0.5522049069404602,0.9211550951004028,0.554482102394104,0.5849665403366089,0.5522049069404602,0.5522049069404602,0.9815489649772644
7,1.2488441144426663,0.557780385017395,0.9132363200187683,0.547126293182373,0.5565750598907471,0.557780385017395,0.557780385017395,0.9682990312576294,1.1752475202083588,0.5791953802108765,0.9298191070556641,0.5607772469520569,0.685375452041626,0.5791953802108765,0.5791953802108765,0.9854589104652405
8,1.1689461469650269,0.5919995307922363,0.9245389699935913,0.5792230367660522,0.5855045318603516,0.5919995307922363,0.5919995307922363,0.9756824374198914,1.1111597120761871,0.6101790070533752,0.9368364214897156,0.6138228178024292,0.6624726057052612,0.6101790070533752,0.6101790070533752,0.9939799308776855
